Team Name,Team ID,Pos 1 Name,Pos 2 Name,Pos 3 Name,Pos 4 Name,Pos 5 Name
GamerLegion,9964962,Yamsun,RCY,Fayde,Bignum,Speeed
HEROIC,9303484,Yuma,Wisper,Davai Lama,Scofield,KingJungles
Infamous Gaming,9081369,JP,lalatronii <,TakecareMia,sl4d1n-,CHAAANNN
AVULUS,9498970,ssnovv1,dualrazee,Cloud,Wein,asdekor_r
Level UP esports,9256405,Nikobaby,matson,pJon,Gilgir,kur0patbI4
MOUZ,9338413,Crystallis,MidOne,BOOM,yamich,Seleri
Natus Vincere,36,gotthejuice,Niku,pma,Zayac,Riddys
Team Liquid,2163,miCKe,Nisha,Ace,Boxi,tOfu
Tundra Esports,8291895,Pure,bzm,33,Ari,Whitemon
Virtus.pro,9895392,Timado,Abed,SaberLight,Hellscream,Fly
Zero Tenacity,9600141,dream`,Worick,nefrit,dEsire,
1w Team,9255039,Munkushi~,squad1x,SSS,swedenstrong,Rein
4Pirates,9586122,iseedeadpeople,,技我扼找快把 技抉把忘抖抆,ariel,PERDAN4IK
Aurora Gaming,9467224,Nightfall,Mikoto,TORONTOTOKYO,Mira,Oli
BetBoom Team,8255888,Kiritych,gpk~,MieRo`,Save-,Kataomi`
L1GA TEAM,9303383,v1olent`,erase,,,RESPECT
NAVI Junior,9886393,onLiTaL,gbc,krol9ash,Gothic-,Hyuga
Nemiga Gaming,5014799,Manem,young G,Covisnine,hwoarang,VaniLLl
PARIVISION,9824702,Satanic,No[o]ne,DM,9Class,Dukalis
Passion UA,9247798,Crystallize,Moonlight,Batyuk,QBFY,kreker
Runa Team,9758040,nesfeer,Nicky`Cool,alberkaaa,queezy,Hduo
Team Spirit,1659632,Yatoro,Larl,Collapse,rue,panto
Team Yandex,9844632,watson,CHIRA_JUNIOR,Noticed,,Malady
VP.Prodigy,9872558,,Serenada,takizawa,armageddon,
Team Tidebound,9640842,shiro,Echo,niu,planet,y`
Vici Gaming,726228,Lou,Xm,Ws,Pyw,Dy
Xtreme Gaming,8261500,Ame,NothingToSay,,fy,xNova
Yakult Brothers,9351740,flyfly,Emo,zeal,BoBoKa,TianMing
Execration,8254145,Palos,Bob,Tino,Shanks,cml
Ivory,9879852,Karma媦,Ken,Rupido,Dric~,Teehee
OG,2586976,Natsumi,Yopaj-,Nikko,TIMS,skem
REKONIX,9829573,Jikroy,inYourdreaM,Fbz,dalul,Varizh
Team Nemesis,9691969,,Mac,Raven,Jing,
Yangon Galacticos,7653080,Ksh,Young PH,,Skill Lay,ZawRain
Nigma Galaxy,7554697,TA2000,SumaiL,No!ob,OmaR,?GH
Team Falcons,9247354,skiter,Malr1ne,ATF,Cr1t-,Sneyking
Winter Bear,8494848,,Mikey,KaChal,Jeezy,Stoic
